fact_id,total_sales,quantity_sold,discount_given,sales_target_achieved,profit_margin,branch_id,customer_id,sales_person_id,product_id,time_id
333,653,81,16,FALSE,432,42,79,94,108,17
338,275,96,11,TRUE,155,21,334,44,61,87
340,216,89,18,FALSE,97,41,58,65,127,115
343,270,85,8,TRUE,149,36,284,96,81,74
345,387,92,27,TRUE,325,3,138,69,87,37
348,248,94,39,TRUE,299,45,359,51,143,345
355,441,97,44,TRUE,92,50,133,83,30,183
363,256,98,14,TRUE,160,10,264,84,69,15
366,746,87,33,TRUE,308,47,422,58,72,205
369,677,94,0,TRUE,241,24,385,68,197,97
375,543,87,3,FALSE,288,43,35,67,71,201
377,789,88,31,FALSE,109,24,407,12,178,194
378,497,86,1,FALSE,142,27,244,36,30,220
382,105,96,28,FALSE,42,36,339,72,106,341
383,506,86,17,TRUE,69,16,333,90,157,22
392,430,87,33,TRUE,104,30,153,32,15,56
403,518,89,11,FALSE,139,32,120,68,38,262
419,653,95,5,TRUE,192,47,406,34,91,49
421,680,82,7,FALSE,89,29,58,25,163,156
441,305,92,8,TRUE,485,47,74,62,38,279
444,999,90,19,TRUE,138,30,216,39,67,50
448,673,85,32,FALSE,255,32,49,23,20,303
450,471,81,45,TRUE,352,10,287,46,122,135
453,103,86,30,FALSE,24,29,188,11,52,281
458,599,99,39,FALSE,122,5,263,18,23,73
463,579,100,44,FALSE,344,28,175,69,111,229
465,639,91,34,FALSE,310,3,407,27,105,287
467,813,95,6,FALSE,461,10,326,69,97,145
469,832,88,38,TRUE,292,42,11,97,126,32
480,990,88,27,TRUE,76,23,387,99,63,212
494,761,91,36,TRUE,331,43,273,27,35,176
497,958,85,28,FALSE,430,16,370,91,193,360
500,264,93,17,TRUE,499,39,214,22,76,347
504,481,99,40,FALSE,44,5,252,43,91,242
511,259,94,16,FALSE,102,19,216,12,168,331
513,489,83,1,TRUE,194,27,416,21,104,150
528,876,86,40,TRUE,51,25,256,66,198,233
529,568,81,39,FALSE,342,42,484,40,39,145
533,934,95,30,FALSE,42,5,37,5,177,51
537,657,92,45,TRUE,61,28,450,82,90,206
538,513,98,17,FALSE,397,23,343,45,200,170
540,114,88,14,TRUE,80,30,485,18,27,61
543,496,83,38,TRUE,140,19,39,66,32,157
564,776,89,44,FALSE,20,23,17,68,102,61
568,118,94,37,FALSE,209,20,109,40,36,335
569,814,91,17,FALSE,286,33,286,10,24,213
572,387,94,22,TRUE,127,12,488,30,165,216
574,513,90,15,FALSE,206,31,460,95,88,59
575,483,81,43,FALSE,417,16,227,46,9,40
576,759,97,6,TRUE,327,8,114,18,33,313
588,576,98,20,FALSE,60,23,400,81,164,357
594,253,90,9,TRUE,107,43,54,81,119,81
602,315,92,41,TRUE,206,24,185,63,174,199
612,107,99,5,TRUE,27,15,36,35,90,227
621,862,90,46,TRUE,39,47,342,80,45,131
629,886,99,26,FALSE,442,41,153,27,82,229
639,291,93,28,FALSE,155,30,303,50,114,21
652,746,92,45,TRUE,237,12,131,66,182,71
656,164,87,34,FALSE,410,50,440,7,186,265
661,165,91,19,TRUE,291,30,330,29,61,152
665,299,86,40,FALSE,285,29,151,10,81,324
669,128,81,42,FALSE,22,14,400,14,146,141
673,623,89,10,FALSE,48,1,446,74,164,217
676,335,92,32,FALSE,148,8,159,13,77,114
683,443,95,2,TRUE,210,30,37,15,9,287
691,278,83,22,TRUE,390,34,252,1,196,99
701,565,81,27,FALSE,114,28,493,36,129,114
706,106,87,9,TRUE,21,23,481,29,32,24
731,854,91,18,TRUE,218,19,10,65,7,152
741,981,82,14,TRUE,190,12,328,45,140,333
750,365,97,47,FALSE,29,8,131,27,113,316
751,178,87,43,TRUE,411,25,213,81,98,3
764,389,87,7,TRUE,419,36,134,40,68,106
773,266,97,24,TRUE,100,42,63,62,4,353
785,314,87,46,TRUE,233,15,402,8,90,67
786,684,82,33,FALSE,101,18,280,70,76,199
792,308,86,43,TRUE,300,11,396,95,149,64
794,266,93,29,TRUE,217,14,138,11,136,125
797,624,87,9,TRUE,252,2,220,18,193,184
811,353,91,15,FALSE,406,32,218,46,4,56
813,197,88,0,FALSE,293,29,44,60,107,336
816,881,95,3,FALSE,244,39,119,70,192,210
819,983,92,26,FALSE,438,39,282,2,52,19
824,772,96,3,TRUE,471,18,291,37,123,233
826,845,91,46,TRUE,341,26,470,36,200,107
828,432,85,33,TRUE,497,21,280,29,56,33
830,280,95,30,FALSE,443,5,420,1,112,292
834,273,91,46,TRUE,298,47,193,83,135,228
840,756,87,49,FALSE,340,34,471,22,180,142
847,395,91,0,FALSE,311,46,269,12,102,255
848,999,83,2,FALSE,37,18,231,96,137,154
850,592,89,34,FALSE,468,39,28,93,177,260
852,359,98,47,FALSE,450,38,133,40,1,340
853,452,97,44,FALSE,72,42,198,63,141,294
854,699,87,41,FALSE,182,36,106,29,117,139
855,748,100,2,FALSE,202,3,321,90,189,217
856,622,96,13,FALSE,269,1,18,14,157,230
861,486,94,20,FALSE,298,46,233,66,43,210
862,910,100,3,FALSE,32,37,422,38,29,150
863,276,91,29,FALSE,323,27,258,52,92,56
866,259,100,19,TRUE,81,35,60,12,171,98
868,377,95,8,FALSE,468,32,109,8,187,61
870,971,99,43,TRUE,470,43,1,60,169,138
877,349,84,13,TRUE,433,1,34,78,4,169
888,704,88,0,FALSE,366,39,116,27,178,311
889,298,98,8,FALSE,247,27,310,35,64,68
898,951,100,32,TRUE,87,10,53,22,154,149
899,459,96,49,FALSE,417,20,304,96,142,27
901,682,81,1,TRUE,251,40,153,69,38,353
903,626,88,8,FALSE,222,21,275,2,74,121
905,369,87,20,TRUE,59,5,207,13,50,142
906,860,84,1,FALSE,124,12,292,65,68,330
914,782,89,37,FALSE,445,42,295,77,166,154
929,102,100,11,TRUE,484,16,368,1,129,345
932,675,97,36,TRUE,351,42,57,88,150,6
935,270,95,26,FALSE,331,4,165,17,44,190
939,696,96,27,FALSE,483,43,101,55,198,45
941,629,94,41,FALSE,339,25,430,27,57,158
944,533,97,14,FALSE,324,36,187,51,86,332
945,380,99,8,TRUE,157,34,407,6,127,68
951,529,92,32,TRUE,206,5,475,89,75,174
953,719,99,5,FALSE,121,34,155,43,144,212
962,786,99,42,FALSE,332,34,295,39,26,86
968,145,94,44,TRUE,108,28,16,47,177,51
973,229,94,31,TRUE,161,5,259,89,18,239
976,125,86,46,TRUE,426,34,261,39,79,61
980,473,90,9,TRUE,493,29,257,17,7,17
981,110,94,10,TRUE,277,16,94,100,189,231
995,307,100,8,FALSE,84,25,388,98,153,356
996,470,82,40,TRUE,430,21,314,62,3,322
