fact_id	branch_id	time_id	product_id	customer_id	salesperson_id	total_sales	quantity_sold	discount_given	sales_target_achieved	profit_margin
48	3	324	141	271	11	599.59	32	13.24	False	239.11
49	20	222	108	96	47	918.82	94	35.37	False	331.51
50	29	35	81	378	76	445.71	44	19.74	True	204.51
51	6	110	59	252	24	807.88	3	48.33	False	238.19
52	19	208	93	348	89	702.03	59	28.0	False	399.25
53	9	263	17	371	84	102.83	12	33.62	True	196.32
54	40	315	180	206	41	920.63	59	14.34	True	123.12
55	7	174	30	409	37	278.8	62	34.27	True	168.28
56	50	240	52	342	28	354.55	18	14.04	True	76.56
57	8	65	71	455	4	803.82	74	38.51	True	361.32
58	32	150	139	62	95	980.78	87	36.45	True	427.92
59	28	320	184	430	74	845.25	47	39.8	True	417.33
60	19	298	124	101	91	458.46	84	15.57	True	128.89
61	35	154	141	475	33	134.64	21	27.95	False	29.48
62	25	147	28	60	43	882.77	65	48.09	True	34.84
63	1	110	87	82	58	649.44	49	45.18	False	295.32
64	9	335	171	482	91	693.25	64	13.0	False	213.81
65	32	86	151	325	70	645.92	25	39.75	True	425.66
66	36	5	55	471	33	160.63	86	10.88	True	465.5
67	49	108	107	34	12	906.2	53	38.33	True	105.95
68	14	14	26	210	77	468.95	25	10.7	False	472.57
69	34	294	18	80	96	625.4	32	45.22	True	373.13
70	33	306	159	317	41	948.04	93	3.32	True	366.42
71	2	220	130	101	68	751.77	76	0.38	True	27.48
72	16	11	45	41	38	579.81	80	21.57	False	270.19
73	8	299	86	287	95	134.22	29	23.35	False	337.01
74	31	338	167	67	48	613.82	23	26.93	False	416.46
75	14	140	98	310	40	698.27	62	5.46	True	156.57
76	44	124	173	78	70	416.79	82	35.31	True	195.18
77	28	105	81	265	94	523.94	33	49.77	True	461.47
78	37	328	112	452	51	234.47	29	27.11	True	458.89
79	31	109	53	257	56	998.03	44	10.19	False	84.98
80	18	226	193	289	84	120.99	17	38.8	False	417.09
81	16	356	142	274	85	811.78	76	9.69	False	484.09
82	40	158	147	307	37	335.98	86	13.49	False	66.56
83	43	295	77	241	20	932.23	20	49.28	False	456.31
84	39	262	139	46	33	826.09	12	31.72	False	472.58
85	45	299	165	272	28	524.79	98	32.36	False	426.03
86	16	359	97	162	66	350.71	32	32.45	True	182.11
87	25	284	88	361	58	874.64	93	3.53	False	317.03
88	41	95	146	63	43	920.7	52	2.27	True	473.64
89	24	1	150	37	74	277.89	6	38.61	True	58.61
90	33	337	90	474	83	919.25	94	46.7	True	241.21
91	20	104	176	127	65	518.7	43	12.92	True	258.44
92	45	102	57	139	64	524.01	87	46.73	False	31.71
93	43	62	174	159	57	321.56	82	39.34	True	139.14
94	45	50	16	258	34	219.07	44	13.14	False	459.69
95	21	261	122	136	17	498.16	87	28.14	True	302.44
96	9	308	6	104	97	862.33	85	42.27	True	272.86
97	20	18	131	347	13	727.89	7	20.94	False	187.85
98	19	13	105	492	50	622.91	9	45.33	False	353.31
99	27	3	173	268	49	787.5	48	33.34	True	405.58
100	42	130	154	449	38	554.47	81	47.55	False	78.96
101	21	140	179	93	74	686.96	80	0.67	False	217.05
102	21	352	47	116	11	322.02	31	24.89	True	114.76
103	15	187	169	420	46	688.04	16	43.14	True	228.33
104	28	134	67	413	6	973.53	60	36.28	True	417.86
105	19	265	156	187	52	355.38	93	47.79	True	301.0
106	27	14	169	74	48	143.04	66	4.52	False	201.5
107	32	242	143	281	99	170.01	94	16.35	False	78.7
108	3	282	53	446	11	791.3	19	26.32	True	100.54
109	11	28	34	44	59	154.42	2	13.1	True	499.73
110	31	254	98	191	79	291.82	36	16.43	True	314.63
111	20	327	152	37	29	788.85	47	9.99	True	31.96
112	38	306	147	154	67	200.26	94	49.05	True	382.29
113	12	240	176	264	93	939.67	38	2.08	True	127.47
114	47	360	139	210	56	756.04	56	49.28	False	55.86
115	39	360	96	318	43	979.35	5	8.32	True	300.27
116	12	106	101	125	83	948.55	55	40.03	False	248.76
117	15	26	171	388	81	327.41	12	8.6	True	28.7
118	43	215	94	75	63	989.12	43	29.52	False	401.12
119	5	51	172	259	92	921.69	99	15.87	False	387.44
120	25	54	197	211	68	430.95	3	33.72	True	293.04
121	29	145	6	472	92	362.81	24	28.99	True	260.63
122	50	19	85	333	95	970.98	49	37.39	False	325.13
123	42	126	190	34	20	165.71	83	44.89	False	152.09
124	34	112	161	269	35	776.36	67	8.33	False	346.07
125	16	33	78	409	56	888.27	3	3.97	True	73.9
126	50	246	170	49	68	724.99	67	6.17	False	407.29
127	10	264	186	19	54	379.34	43	12.61	False	462.51
128	6	76	95	371	43	854.68	60	15.33	True	219.51
129	21	48	197	441	94	409.84	8	40.73	False	390.52
130	44	273	156	352	65	920.13	17	15.41	True	66.85
131	35	347	37	144	76	478.27	93	20.52	True	105.34
132	33	71	78	366	25	900.01	22	40.79	True	34.73
133	18	42	197	160	60	519.89	97	23.11	False	333.32
134	40	255	103	297	70	656.37	38	36.62	False	371.88
135	9	160	146	6	72	572.66	5	9.12	True	190.47
136	35	18	125	182	66	186.82	94	5.01	False	387.5
137	4	219	106	132	71	100.74	42	30.2	False	389.48
138	1	160	89	180	92	405.08	49	39.69	False	334.32
139	38	14	132	63	66	848.78	81	44.13	False	300.35
140	23	53	86	138	38	319.88	63	6.68	False	138.29
141	10	265	117	169	95	153.55	81	8.52	False	409.2
142	25	10	142	430	75	235.5	40	17.4	False	430.75
143	25	107	35	142	3	574.17	14	15.68	False	144.77
144	19	323	101	348	14	722.37	56	17.91	True	259.39
145	22	158	8	264	71	465.51	73	38.79	True	221.45
146	16	261	77	61	27	639.42	73	30.58	True	279.51
147	36	111	113	251	74	254.4	28	35.03	True	47.26
148	3	4	169	455	95	807.84	27	26.29	False	368.03
149	44	22	172	242	18	850.97	12	45.63	False	140.82
150	12	144	184	289	77	157.24	44	31.45	True	454.29
151	14	229	179	431	5	855.26	98	21.27	False	481.42
152	1	246	150	329	51	405.0	78	33.89	False	167.67
153	12	194	87	478	6	865.06	91	31.57	True	266.28
154	19	84	83	206	37	688.29	96	44.33	True	371.98
155	26	280	38	375	66	332.62	55	17.14	False	387.22
156	37	192	115	449	74	595.18	99	6.72	True	425.87
157	50	346	162	421	2	276.07	58	47.49	True	280.12
158	35	301	105	95	55	535.56	50	3.09	False	154.28
159	29	194	143	289	99	249.33	46	15.61	False	374.83
160	22	358	108	105	54	713.64	30	49.33	False	466.01
161	29	300	28	304	16	490.51	26	40.84	True	204.36
162	14	354	97	358	36	248.25	6	39.46	True	342.34
163	45	213	166	319	80	157.06	62	14.46	True	221.01
164	48	301	152	460	59	813.79	83	15.44	True	498.21
165	9	140	78	139	26	888.26	35	33.89	True	99.61
166	44	238	61	427	35	225.39	58	37.05	True	176.0
167	31	27	38	80	9	213.35	4	8.07	True	216.19
168	20	208	34	148	64	342.78	68	33.1	True	26.31
169	39	263	127	183	36	211.62	33	14.62	False	38.18
170	9	223	80	489	87	163.76	41	1.9	False	106.13
171	20	216	152	298	11	279.02	39	43.59	True	282.61
172	50	289	16	273	35	895.32	97	24.47	True	102.56
173	22	240	187	191	43	493.32	73	7.08	True	294.71
174	44	320	167	461	44	317.88	59	8.59	True	414.97
175	22	319	49	367	42	796.01	20	10.92	True	67.13
176	18	293	189	441	40	635.16	23	6.81	True	250.71
177	47	21	119	288	85	890.83	33	10.87	True	398.15
178	24	145	188	283	65	120.73	20	42.96	False	395.5
179	10	59	7	207	22	305.69	89	16.54	True	195.23
180	39	197	110	171	61	716.89	30	14.86	True	170.53
181	15	321	69	333	34	519.71	44	40.75	False	176.13
182	10	189	133	422	7	209.81	40	40.19	False	60.68
183	34	307	159	300	43	945.59	40	30.43	True	65.26
184	40	236	8	31	41	236.78	3	33.44	True	253.74
185	11	197	163	14	30	241.1	83	10.72	True	183.49
186	41	303	82	204	91	510.03	47	47.37	False	43.44
187	15	75	10	337	14	506.96	98	31.77	True	136.92
188	36	303	32	349	72	252.66	13	0.3	False	493.74
189	23	303	136	269	51	467.43	49	32.02	True	287.58
190	29	74	4	191	35	869.0	26	42.73	False	433.71
191	41	208	151	181	93	910.63	78	37.12	True	258.65
192	27	153	49	440	10	254.27	2	13.58	False	470.39
193	46	299	174	355	87	125.94	65	24.74	True	326.03
194	12	94	185	167	13	870.28	42	36.35	False	440.0
195	38	216	52	447	14	566.08	54	28.16	False	316.84
196	42	231	9	104	36	720.63	21	48.3	True	78.09
197	14	242	14	119	36	406.84	31	2.05	False	324.81
198	21	210	149	168	67	388.81	14	27.41	True	374.95
199	44	306	136	453	59	312.94	61	44.74	False	277.59
200	24	225	194	79	21	109.48	35	44.84	False	329.75
201	29	101	86	359	59	721.47	43	47.39	False	201.62
202	38	189	147	446	60	763.62	75	22.23	True	478.41
203	21	59	122	395	75	818.92	82	8.01	True	372.75
204	5	268	199	35	38	995.24	1	43.59	False	387.04
205	35	312	68	458	87	972.49	84	5.53	True	327.67
206	48	207	196	38	90	732.54	25	27.03	True	423.31
207	15	53	195	470	78	937.95	93	41.25	True	308.36
208	26	138	76	165	86	570.23	72	1.92	False	208.69
209	3	142	58	169	66	542.79	4	3.55	False	83.74
210	4	75	130	171	71	433.59	99	11.52	True	61.91
211	6	233	37	106	36	291.32	20	21.44	False	220.79
212	46	59	85	114	29	248.0	9	36.55	False	417.85
213	46	365	152	46	90	435.17	49	43.08	False	468.98
214	46	172	94	146	5	424.22	53	45.17	False	115.67
215	29	220	179	72	59	516.0	36	21.52	False	489.28
216	1	134	181	70	88	693.03	62	18.48	True	302.91
217	36	316	155	457	94	462.25	21	26.7	True	213.59
218	39	45	1	189	25	802.13	85	5.13	False	117.55
219	31	73	17	200	17	178.24	49	44.02	False	384.5
220	45	84	155	225	96	462.56	94	36.26	False	255.58
221	9	23	102	8	47	816.34	57	19.23	True	240.14
222	5	33	81	196	60	367.29	29	44.5	True	253.17
223	45	341	82	290	22	840.86	4	9.62	True	270.98
224	3	201	105	365	81	577.89	72	43.94	True	24.41
225	42	205	108	449	83	528.39	99	37.83	False	364.45
226	40	190	158	158	93	762.97	64	27.21	True	415.63
227	42	251	124	388	51	527.17	24	38.51	True	398.88
228	37	275	135	245	96	647.88	79	28.96	False	260.02
229	11	77	45	425	76	761.69	100	46.06	True	461.65
230	10	252	164	289	82	861.04	68	0.33	True	141.64
231	43	343	138	72	47	758.05	3	48.34	True	312.06
232	43	16	123	462	57	861.98	70	44.88	False	221.84
233	27	164	101	71	44	583.75	19	13.27	False	427.59
234	32	15	91	415	24	807.7	81	16.99	True	426.36
235	14	311	146	475	70	996.79	5	26.83	False	207.1
236	23	234	176	323	18	174.02	85	44.43	False	276.35
237	24	29	147	302	19	715.01	44	44.65	False	84.09
238	38	119	104	442	48	695.42	88	20.21	True	432.04
239	44	4	87	195	23	305.31	35	40.61	True	410.85
240	15	343	17	438	59	126.85	30	47.92	True	225.45
241	25	246	67	90	82	779.64	45	12.69	True	256.26
242	27	292	54	396	69	988.58	11	6.89	False	176.24
243	32	223	43	137	98	330.55	27	3.45	True	248.11
244	34	73	124	319	18	714.81	7	37.0	False	116.84
245	41	274	95	219	19	676.37	45	43.52	False	270.24
246	15	258	55	63	85	707.06	100	21.21	False	193.16
247	24	146	11	135	14	512.67	58	33.73	True	448.62
248	23	303	102	51	40	864.98	39	20.43	False	269.58
249	34	146	20	341	100	903.94	32	16.35	True	490.29
250	1	2	35	179	13	287.89	88	20.17	True	471.4
251	9	206	157	304	53	714.51	71	7.38	True	156.21
252	28	51	27	355	21	805.37	26	25.06	False	100.05
253	50	51	155	285	89	169.88	6	14.16	True	182.46
254	46	124	174	152	72	557.55	30	44.15	True	80.74
255	8	337	6	499	90	612.63	10	1.17	False	266.38
256	33	159	197	321	49	668.41	37	33.55	True	470.76
257	39	250	193	454	28	453.58	14	42.72	False	304.71
258	16	92	118	321	1	193.63	97	5.7	True	402.82
259	32	116	113	389	88	869.43	32	45.36	True	222.0
260	16	148	169	141	12	932.76	43	30.01	True	496.73
261	32	194	101	385	93	643.7	45	48.01	False	351.47
262	33	222	193	150	61	555.0	8	17.51	False	401.67
263	3	168	156	57	74	940.2	35	45.44	False	184.42
264	46	291	124	102	16	498.72	45	49.71	True	124.82
265	31	245	60	243	11	904.93	77	9.75	True	459.66
266	48	152	178	212	60	268.99	25	3.85	True	228.87
267	8	280	129	499	18	256.9	79	12.72	False	458.91
268	22	60	198	390	37	484.49	23	34.09	True	252.92
269	43	49	15	488	46	164.25	20	48.05	False	174.91
270	19	26	129	485	50	610.34	73	46.46	False	312.51
271	42	167	177	414	43	162.38	23	22.18	True	376.87
272	7	22	47	84	96	990.59	94	24.25	False	162.14
273	8	34	186	40	65	672.86	100	6.05	False	154.9
274	43	110	178	158	17	257.45	15	27.19	False	354.86
275	25	130	10	332	29	414.5	38	30.67	True	232.81
276	26	46	31	260	28	175.67	12	47.15	True	438.35
277	36	233	59	365	53	297.53	56	38.98	True	166.05
278	3	257	127	363	49	580.86	52	47.65	True	386.1
279	29	216	36	44	11	654.81	45	13.27	False	386.55
280	14	258	125	195	51	337.76	55	21.82	False	369.02
281	50	206	89	9	2	177.28	34	22.53	True	491.19
282	15	7	172	260	95	203.41	20	37.94	False	151.36
283	45	235	110	63	32	355.4	67	28.18	True	74.14
284	17	350	193	258	84	133.15	19	27.1	False	174.65
285	10	280	176	396	89	527.77	20	17.39	True	198.8
286	5	29	23	425	38	537.62	87	43.72	True	212.6
287	4	353	63	499	1	272.61	84	44.99	False	30.82
288	27	315	24	118	30	585.19	2	9.72	True	98.48
289	21	228	44	436	94	906.83	68	6.82	True	268.03
290	14	195	110	60	39	754.3	48	45.52	False	235.49
291	17	182	14	219	60	408.85	68	39.06	True	113.27
292	21	181	136	135	14	729.09	66	34.75	False	200.11
293	16	237	46	79	74	293.3	84	17.19	False	334.39
294	8	113	158	339	79	460.27	4	39.33	True	375.15
295	27	151	151	124	87	151.89	87	24.83	False	209.37
296	21	197	179	64	20	629.57	31	37.65	False	441.43
297	13	243	99	116	30	637.1	74	33.33	False	44.76
298	26	331	79	379	10	496.58	49	36.8	True	248.65
299	20	198	12	23	95	430.12	45	33.68	True	131.36
300	19	357	145	267	85	715.45	43	9.63	False	246.48
301	40	156	19	68	29	265.18	79	20.53	False	295.44
302	31	347	28	55	38	727.46	91	19.72	False	237.15
303	17	183	90	30	12	694.09	94	3.84	True	295.82
304	49	204	103	443	95	235.0	15	40.0	True	474.65
305	40	78	152	335	44	712.25	36	42.24	True	285.67
306	15	296	123	78	10	164.97	36	9.48	True	219.29
307	12	280	22	136	18	922.95	42	41.57	False	334.48
308	34	305	99	205	57	202.52	63	5.49	True	405.46
309	17	213	5	244	65	170.49	75	30.66	True	64.43
310	29	199	35	36	86	864.41	13	45.4	False	313.51
311	42	234	48	220	85	327.01	90	27.28	True	394.5
312	12	123	83	318	14	849.6	29	37.63	True	288.3
313	5	328	13	385	74	881.45	37	44.79	False	213.26
314	31	175	167	479	6	412.77	88	9.1	True	282.14
315	48	335	29	158	24	100.91	43	44.89	True	154.79
316	28	309	150	177	21	255.58	61	32.47	True	70.49
317	13	44	90	87	62	923.61	61	47.6	True	429.55
318	29	261	146	258	95	578.57	24	13.12	False	257.59
319	50	49	182	391	5	174.49	46	40.99	False	61.74
320	19	159	15	288	51	931.28	86	49.66	False	379.29
321	42	76	139	198	65	495.8	54	35.92	True	133.04
322	13	202	96	488	87	466.91	42	36.61	True	399.6
323	23	235	64	206	85	682.32	33	12.72	True	21.82
324	6	114	69	185	99	698.25	12	1.17	False	432.95
325	21	246	151	149	79	841.64	3	30.62	False	439.81
326	37	113	44	177	23	161.23	34	1.76	False	146.83
327	42	252	131	40	24	277.58	28	27.45	True	432.8
328	1	116	152	402	37	505.66	48	33.74	True	427.67
329	4	5	81	493	43	348.99	46	46.46	False	327.5
330	6	300	113	120	17	322.43	9	43.19	True	215.73
331	50	302	121	355	7	451.34	30	2.14	False	211.62
332	4	187	173	237	45	145.39	64	40.3	False	37.55
333	42	17	108	79	94	653.12	81	16.4	False	432.22
334	42	242	198	487	77	201.66	68	26.83	True	121.17
335	26	339	103	4	12	783.97	76	14.56	True	259.58
336	27	280	68	146	26	142.18	42	46.41	True	404.36
337	47	227	146	167	28	552.91	32	4.8	True	249.31
338	21	87	61	334	44	275.85	96	11.97	True	155.72
339	19	2	197	76	66	889.57	49	28.97	True	141.9
340	41	115	127	58	65	216.69	89	18.04	False	97.88
341	17	235	90	189	34	707.7	68	10.6	False	485.82
342	6	359	188	491	90	874.88	36	25.14	True	117.56
343	36	74	81	284	96	270.94	85	8.24	True	149.68
344	21	174	125	86	65	787.72	63	40.39	False	291.95
345	3	37	87	138	69	387.74	92	27.62	True	325.41
346	24	300	167	67	42	284.64	41	20.07	True	213.7
347	17	322	47	370	78	915.59	15	27.12	True	66.57
348	45	345	143	359	51	248.57	94	39.51	True	299.25
349	35	292	63	91	11	734.27	30	27.31	True	63.5
350	49	3	119	343	28	853.67	57	33.31	True	73.86
351	16	176	135	31	10	997.93	32	38.74	True	41.52
352	29	88	53	193	55	718.63	45	45.07	False	45.14
353	33	241	100	124	6	437.6	78	11.08	True	228.85
354	20	111	32	490	20	398.18	53	32.02	False	165.42
355	50	183	30	133	83	441.14	97	44.17	True	92.74
356	42	240	163	65	16	582.4	19	45.92	True	248.88
357	28	113	142	69	25	686.71	4	19.49	True	106.6
358	45	289	81	333	4	357.93	34	8.93	False	139.05
359	8	146	183	121	43	962.84	32	38.65	False	174.92
360	30	12	128	185	54	526.43	31	26.84	False	101.57
361	10	109	147	212	13	739.54	30	13.28	False	333.02
362	23	122	1	219	29	379.19	32	33.97	False	272.79
363	10	15	69	264	84	256.0	98	14.01	True	160.72
364	42	7	55	45	67	804.53	36	34.01	False	400.46
365	44	212	32	251	5	905.95	4	48.68	False	497.41
366	47	205	72	422	58	746.55	87	33.62	True	308.01
367	41	85	74	490	74	568.34	61	8.6	True	186.14
368	5	4	141	488	84	715.3	22	36.6	True	243.06
369	24	97	197	385	68	677.86	94	0.84	True	241.46
370	45	184	119	324	38	224.29	49	12.47	False	485.06
371	43	281	115	442	39	104.6	47	18.37	True	451.34
372	12	36	88	233	82	589.26	21	40.13	False	420.48
373	6	306	63	317	82	925.31	79	14.74	False	73.98
374	35	283	182	148	53	338.56	66	31.4	False	304.87
375	43	201	71	35	67	543.5	87	3.62	False	288.89
376	32	185	34	396	95	288.73	11	25.91	False	104.78
377	24	194	178	407	12	789.19	88	31.22	False	109.56
378	27	220	30	244	36	497.55	86	1.49	False	142.18
379	32	83	146	227	37	159.6	80	14.57	False	141.35
380	39	243	83	41	35	480.09	31	22.6	True	427.76
381	12	339	118	257	1	381.97	25	42.26	True	375.9
382	36	341	106	339	72	105.39	96	28.01	False	42.75
383	16	22	157	333	90	506.41	86	17.24	True	69.36
384	19	188	108	459	7	895.32	5	31.83	True	364.24
385	37	97	35	70	49	985.72	70	46.56	False	197.67
386	2	365	164	184	13	610.35	49	47.18	True	398.23
387	40	61	92	147	39	149.91	55	41.62	False	468.46
388	43	147	1	217	26	238.4	25	8.28	False	102.93
389	20	363	198	420	7	464.75	23	10.44	True	182.36
390	46	4	66	101	92	315.68	66	11.7	False	242.68
391	37	110	55	1	53	909.36	61	37.7	False	455.96
392	30	56	15	153	32	430.9	87	33.43	True	104.92
393	9	184	181	245	62	498.28	46	29.07	False	210.77
394	43	149	107	348	72	558.63	51	10.51	True	430.6
395	19	84	165	19	40	482.21	21	39.39	True	305.72
396	32	52	129	385	48	287.91	29	25.18	True	86.85
397	17	20	70	96	14	499.47	29	29.59	True	98.95
398	36	185	123	118	30	933.38	38	14.96	False	88.05
399	39	123	18	88	21	105.54	53	0.23	False	288.63
400	11	305	120	27	7	744.05	32	1.28	False	272.57
401	19	309	8	371	39	234.9	24	28.28	False	21.38
402	7	316	155	274	98	934.08	3	9.03	False	281.3
403	32	262	38	120	68	518.0	89	11.6	False	139.68
404	12	25	186	308	93	170.16	16	28.64	True	74.91
405	7	105	109	125	31	148.12	44	44.24	True	313.97
406	49	248	98	457	26	832.31	58	41.35	True	120.59
407	14	115	134	70	21	810.09	14	38.68	True	499.8
408	28	69	124	379	10	100.35	3	43.74	True	312.02
409	23	265	190	478	59	269.05	37	43.68	True	210.87
410	31	154	16	244	44	643.29	22	28.65	False	322.09
411	28	319	99	349	96	216.63	79	46.74	False	358.72
412	31	30	131	477	2	633.36	1	39.93	True	462.89
413	26	201	10	17	66	212.38	13	40.44	False	325.57
414	48	42	82	11	92	462.35	72	32.5	False	121.34
415	27	279	108	368	21	681.5	65	31.58	True	324.79
416	18	314	66	248	89	626.79	20	28.38	True	23.24
417	5	164	84	500	56	756.43	37	24.35	False	419.27
418	1	5	35	325	22	560.94	54	23.85	True	93.09
419	47	49	91	406	34	653.64	95	5.71	True	192.51
420	23	254	65	394	36	470.79	58	10.75	True	131.35
421	29	156	163	58	25	680.6	82	7.03	False	89.83
422	29	33	180	319	2	530.9	46	29.38	True	410.47
423	24	180	27	410	11	939.78	55	26.96	False	386.61
424	15	15	71	473	6	643.42	39	21.16	True	197.69
425	18	346	8	432	21	588.1	1	29.57	False	193.99
426	48	263	164	161	22	536.69	45	23.83	True	389.56
427	49	126	8	444	61	544.44	78	28.18	False	399.0
428	37	11	159	312	84	418.93	40	29.28	False	41.29
429	31	14	49	354	33	439.04	71	28.49	False	462.16
430	2	9	98	143	86	770.87	38	14.29	False	62.48
431	23	267	90	69	45	379.53	43	9.91	False	246.07
432	31	322	148	332	16	627.59	64	13.1	True	152.79
433	11	342	59	142	28	445.87	59	18.12	True	310.46
434	23	132	177	18	53	879.05	6	24.19	False	112.61
435	40	170	65	438	71	153.63	16	25.68	False	139.87
436	23	362	146	378	39	845.39	25	28.56	True	85.72
437	34	330	99	368	60	896.29	23	17.61	False	78.78
438	31	162	7	206	16	848.05	46	1.32	False	412.81
439	25	322	73	110	39	411.13	60	22.96	False	152.72
440	44	196	16	117	25	373.44	24	27.6	False	321.95
441	47	279	38	74	62	305.1	92	8.81	True	485.84
442	33	18	13	348	98	144.29	50	46.93	True	288.46
443	29	323	99	241	54	636.35	15	14.89	True	150.77
444	30	50	67	216	39	999.4	90	19.12	True	138.23
445	45	79	128	456	69	849.89	75	20.76	False	355.44
446	46	258	159	478	65	126.6	31	14.38	False	20.37
447	43	303	122	461	97	691.06	52	42.64	False	465.5
448	32	303	20	49	23	673.06	85	32.76	False	255.9
449	24	277	9	475	56	516.91	23	29.13	False	458.5
450	10	135	122	287	46	471.68	81	45.85	True	352.18
451	15	259	144	236	59	980.55	20	33.59	False	363.09
452	41	133	76	327	57	848.33	49	42.22	True	95.03
453	29	281	52	188	11	103.43	86	30.13	False	24.22
454	50	74	30	247	80	170.64	48	10.95	False	151.54
455	16	346	39	10	100	222.21	18	11.83	False	26.9
456	20	290	148	394	83	709.05	50	45.94	False	435.41
457	41	131	3	129	4	545.01	22	36.1	False	279.27
458	5	73	23	263	18	599.61	99	39.33	False	122.08
459	9	260	181	188	21	330.47	12	17.53	False	421.55
460	7	191	66	254	72	423.93	52	29.43	True	327.32
461	43	175	182	110	64	885.44	76	46.82	False	158.94
462	49	297	34	436	91	471.18	16	16.33	False	122.39
463	28	229	111	175	69	579.69	100	44.42	False	344.77
464	24	344	181	71	36	611.9	50	39.16	True	42.29
465	3	287	105	407	27	639.31	91	34.77	False	310.61
466	29	343	167	294	45	233.83	27	43.24	False	174.81
467	10	145	97	326	69	813.8	95	6.19	False	461.28
468	37	262	78	128	36	971.24	6	15.88	True	391.13
469	42	32	126	11	97	832.24	88	38.07	True	292.9
470	13	293	71	75	13	385.5	60	8.42	True	132.11
471	15	189	149	279	94	234.9	19	8.01	True	301.49
472	43	124	163	253	2	813.03	68	32.12	True	474.74
473	11	264	53	65	33	657.38	31	12.68	True	298.67
474	41	273	15	234	36	178.51	16	10.03	True	373.61
475	7	183	158	45	3	293.1	48	43.19	True	57.69
476	46	133	104	192	29	787.97	14	47.51	False	47.55
477	33	4	127	307	36	714.0	74	24.75	False	475.67
478	42	283	191	216	40	738.47	14	33.26	True	489.2
479	11	46	185	196	96	114.63	29	6.21	False	394.79
480	23	212	63	387	99	990.64	88	27.81	True	76.85
481	36	264	143	183	48	467.15	17	45.82	False	352.63
482	2	305	32	424	78	125.76	22	0.91	True	71.71
483	13	62	48	446	88	680.31	53	34.6	True	249.53
484	6	182	40	125	19	510.55	15	18.97	False	97.65
485	31	233	113	260	33	861.43	71	43.45	True	307.03
486	28	271	91	414	49	170.88	79	11.32	False	22.75
487	34	327	12	230	23	176.81	37	15.56	True	317.67
488	11	10	124	184	46	227.54	71	31.37	False	272.35
489	20	36	174	121	35	309.75	16	14.23	True	98.04
490	39	237	56	30	41	838.48	68	5.12	False	195.34
491	33	272	60	168	90	223.96	5	7.16	False	474.68
492	50	14	76	416	36	662.06	47	34.02	False	39.25
493	39	50	177	469	92	112.36	62	41.11	False	499.8
494	43	176	35	273	27	761.56	91	36.13	True	331.11
495	49	275	200	470	57	889.82	32	34.57	False	439.9
